"Type","Page","Role","Method","Path","Status","Expected","Pass","Notes"
"ApiCheck","/dashboard","Admin","GET","/identity/api/admin/dealers?page=1&pageSize=1","200","200","True","{""items"":[{""userId"":""0df5ca04-d545-443e-87ec-be48ef47c51a"",""fullName"":""Page Matrix Dealer"",""email"":""deal.page.20260329164655@supplychain.local"",""businessName"":""Page Dealer 20260329"
"ApiCheck","/dashboard","Dealer","GET","/orders/api/orders/my?page=1&pageSize=1","200","200","True","{""items"":[{""orderId"":""cde21d1e-30a5-44a0-8b4c-8b202a80fc08"",""orderNumber"":""ORD-2026-1F186402"",""dealerId"":""0df5ca04-d545-443e-87ec-be48ef47c51a"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/dashboard","Warehouse","GET","/orders/api/admin/orders?page=1&pageSize=1","200","200","True","{""items"":[{""orderId"":""cde21d1e-30a5-44a0-8b4c-8b202a80fc08"",""orderNumber"":""ORD-2026-1F186402"",""dealerId"":""0df5ca04-d545-443e-87ec-be48ef47c51a"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/dashboard","Logistics","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""c070a50b-0e86-471c-b711-cb53c9628c8c"",""orderId"":""cde21d1e-30a5-44a0-8b4c-8b202a80fc08"",""dealerId"":""0df5ca04-d545-443e-87ec-be48ef47c51a"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/dashboard","Agent","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""c070a50b-0e86-471c-b711-cb53c9628c8c"",""orderId"":""cde21d1e-30a5-44a0-8b4c-8b202a80fc08"",""dealerId"":""0df5ca04-d545-443e-87ec-be48ef47c51a"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/products","Admin","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329164628"",""unitPrice"":209.99,""availableStock"":354,""isActive"":true,"""
"ApiCheck","/products","Dealer","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329164628"",""unitPrice"":209.99,""availableStock"":354,""isActive"":true,"""
"ApiCheck","/products","Warehouse","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329164628"",""unitPrice"":209.99,""availableStock"":354,""isActive"":true,"""
"ApiCheck","/products","Logistics","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329164628"",""unitPrice"":209.99,""availableStock"":354,""isActive"":true,"""
"ApiCheck","/products","Agent","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329164628"",""unitPrice"":209.99,""availableStock"":354,""isActive"":true,"""
"ApiCheck","/products/new","Dealer","POST","/catalog/api/products?rolecheck=dealer","403","403","True",""
