"Type","Page","Role","Method","Path","Status","Expected","Pass","Notes"
"ApiCheck","/dashboard","Admin","GET","/identity/api/admin/dealers?page=1&pageSize=1","200","200","True","{""items"":[{""userId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""fullName"":""Page Matrix Dealer"",""email"":""deal.page.20260329161027@supplychain.local"",""businessName"":""Page Dealer 20260329"
"ApiCheck","/dashboard","Dealer","GET","/orders/api/orders/my?page=1&pageSize=1","200","200","True","{""items"":[{""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""orderNumber"":""ORD-2026-609F6969"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/dashboard","Warehouse","GET","/orders/api/admin/orders?page=1&pageSize=1","200","200","True","{""items"":[{""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""orderNumber"":""ORD-2026-609F6969"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/dashboard","Logistics","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""f600beec-ce13-4ad8-bee8-3c662102099f"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/dashboard","Agent","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""f600beec-ce13-4ad8-bee8-3c662102099f"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/products","Admin","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329160816"",""unitPrice"":209.99,""availableStock"":335,""isActive"":true,"""
"ApiCheck","/products","Dealer","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329160816"",""unitPrice"":209.99,""availableStock"":335,""isActive"":true,"""
"ApiCheck","/products","Warehouse","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329160816"",""unitPrice"":209.99,""availableStock"":335,""isActive"":true,"""
"ApiCheck","/products","Logistics","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329160816"",""unitPrice"":209.99,""availableStock"":335,""isActive"":true,"""
"ApiCheck","/products","Agent","GET","/catalog/api/products?page=1&size=5","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329160816"",""unitPrice"":209.99,""availableStock"":335,""isActive"":true,"""
"ApiCheck","/products/new","Dealer","POST","/catalog/api/products?rolecheck=dealer","403","403","True",""
"ApiCheck","/products/new","Warehouse","POST","/catalog/api/products?rolecheck=warehouse","403","403","True",""
"ApiCheck","/products/new","Logistics","POST","/catalog/api/products?rolecheck=logistics","403","403","True",""
"ApiCheck","/products/new","Agent","POST","/catalog/api/products?rolecheck=agent","403","403","True",""
"ApiCheck","/products/new","Admin","POST","/catalog/api/products?rolecheck=admin","201","201,500","True","{""productId"":""f9fb23a1-a574-46bc-b675-3082e8ef2f6b"",""sku"":""PAGE-20260329161027"",""name"":""Page Product 20260329161027"",""description"":""Page check"",""categoryId"":""82fccf19-8e4a-4489-832"
"ApiCheck","/orders","Dealer","GET","/orders/api/orders/my?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""orderNumber"":""ORD-2026-609F6969"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/orders","Admin","GET","/orders/api/admin/orders?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""orderNumber"":""ORD-2026-609F6969"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/orders","Warehouse","GET","/orders/api/admin/orders?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""orderNumber"":""ORD-2026-609F6969"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/orders","Logistics","GET","/orders/api/admin/orders?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""orderNumber"":""ORD-2026-609F6969"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""status"":2,""totalAmount"":209.99,""pla"
"ApiCheck","/orders","Agent","GET","/orders/api/admin/orders?page=1&pageSize=20","403","403","True",""
"ApiCheck","/shipments","Dealer","GET","/logistics/api/logistics/shipments/my","200","200","True","[{""shipmentId"":""f600beec-ce13-4ad8-bee8-3c662102099f"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/shipments","Admin","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""f600beec-ce13-4ad8-bee8-3c662102099f"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/shipments","Warehouse","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""f600beec-ce13-4ad8-bee8-3c662102099f"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/shipments","Logistics","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""f600beec-ce13-4ad8-bee8-3c662102099f"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/shipments","Agent","GET","/logistics/api/logistics/shipments","200","200","True","[{""shipmentId"":""f600beec-ce13-4ad8-bee8-3c662102099f"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""shipmentNumber"":""SHP-2026-"
"ApiCheck","/invoices","Admin","GET","/payments/api/payment/dealers/807ebca9-3354-4534-9c7c-f9c26b963ff5/invoices","200","200","True","[{""invoiceId"":""564dbf2a-001a-4dfd-ad64-5bdf076312b0"",""invoiceNumber"":""INV-2026-A1B8F3A6"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b"
"ApiCheck","/invoices","Dealer","GET","/payments/api/payment/dealers/807ebca9-3354-4534-9c7c-f9c26b963ff5/invoices","200","200","True","[{""invoiceId"":""564dbf2a-001a-4dfd-ad64-5bdf076312b0"",""invoiceNumber"":""INV-2026-A1B8F3A6"",""orderId"":""d32b7866-c93e-451f-96c4-abc731c81949"",""dealerId"":""807ebca9-3354-4534-9c7c-f9c26b"
"ApiCheck","/invoices","Warehouse","GET","/payments/api/payment/dealers/807ebca9-3354-4534-9c7c-f9c26b963ff5/invoices","403","403","True",""
"ApiCheck","/invoices","Logistics","GET","/payments/api/payment/dealers/807ebca9-3354-4534-9c7c-f9c26b963ff5/invoices","403","403","True",""
"ApiCheck","/invoices","Agent","GET","/payments/api/payment/dealers/807ebca9-3354-4534-9c7c-f9c26b963ff5/invoices","403","403","True",""
"ApiCheck","/notifications","Admin","GET","/notifications/api/notifications","200","200","True","[{""notificationId"":""cdc365d4-471f-4ccb-b958-c1d56d4efbb1"",""recipientUserId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""title"":""Page Matrix Notice 20260329161027"",""body"":""Page level va"
"ApiCheck","/notifications","Dealer","GET","/notifications/api/notifications/my","200","200,404","True","[{""notificationId"":""cdc365d4-471f-4ccb-b958-c1d56d4efbb1"",""recipientUserId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""title"":""Page Matrix Notice 20260329161027"",""body"":""Page level va"
"ApiCheck","/notifications","Warehouse","GET","/notifications/api/notifications/my","200","200,404","True","[]"
"ApiCheck","/notifications","Logistics","GET","/notifications/api/notifications/my","200","200,404","True","[]"
"ApiCheck","/notifications","Agent","GET","/notifications/api/notifications/my","200","200,404","True","[]"
"ApiCheck","/admin/dealers","Admin","GET","/identity/api/admin/dealers?page=1&pageSize=20","200","200","True","{""items"":[{""userId"":""807ebca9-3354-4534-9c7c-f9c26b963ff5"",""fullName"":""Page Matrix Dealer"",""email"":""deal.page.20260329161027@supplychain.local"",""businessName"":""Page Dealer 20260329"
"ApiCheck","/admin/dealers","Dealer","GET","/identity/api/admin/dealers?page=1&pageSize=17&search=forbidden-check","403","403","True",""
"ApiCheck","/admin/dealers","Warehouse","GET","/identity/api/admin/dealers?page=1&pageSize=17&search=forbidden-check","403","403","True",""
"ApiCheck","/admin/dealers","Logistics","GET","/identity/api/admin/dealers?page=1&pageSize=17&search=forbidden-check","403","403","True",""
"ApiCheck","/admin/dealers","Agent","GET","/identity/api/admin/dealers?page=1&pageSize=17&search=forbidden-check","403","403","True",""
